Accession	Protein	MW [kDa]	pI	Rank	Peptides	Scores	SpecCount	SeqCov	Vorkommen	vIa_30min	20a_30min	40a_30min	60a_30min	80a_30min	vIb_120min	20b_120min	40b_120min	60b_120min	80b_120min
gi|161367453	peptidyl-prolyl cis-trans isomerase [Escherichia coli O157:H7 EDL933]	22,1	4,7	183	5	366.4 (M:366.4)	40	35,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	4	4	2	3	6	4	5	5	3
gi|218698834	D-sedoheptulose 7-phosphate isomerase [Escherichia coli IAI39]	20,8	6	184	6	365.8 (M:365.8)	29	36,5	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	1	2		5	2	4	3	6
gi|218692645	valyl-tRNA synthetase [Escherichia coli ED1a]	108	5,1	185	10	364.0 (M:364.0)	18	13	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min	1	1				5	6	2	3	
gi|157158969	heat shock protein GrpE [Escherichia coli E24377A]	21,7	4,5	186	5	360.9 (M:360.9)	38	47,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	2	2	2	2	5	6	7	3	6
gi|194429871	chaperone/peptidyl-prolyl cis-trans isomerase SurA [Escherichia coli B171]	47,3	6,5	187	8	355.8 (M:355.8)	33	34,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	2	1	1	1	6	5	5	6	5
gi|15804734	co-chaperonin GroES [Escherichia coli O157:H7 EDL933]	10,4	5	188	5	354.7 (M:354.7)	132	72,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	10	8	7	6	20	26	21	15	14
gi|15803918	putative DNA uptake protein [Escherichia coli O157:H7 EDL933]	21	4,4	189	6	353.0 (M:353.0)	35	33	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	2	3	2	2	8	6	3	4	4
gi|13399622	Chain A, Crystal Structure Of The E. Coli Manganese Superoxide Dismutase Mutant Y174f At 1.35 Angstroms Resolution.	22,9	6,5	190	7	352.9 (M:352.9)	34	50,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	2	2	1	6	5	5	3	6
gi|15803848	30S ribosomal protein S10 [Escherichia coli O157:H7 EDL933]	11,7	10,1	191	5	352.6 (M:352.6)	82	62,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	3	4	2	20	17	15	6	9
gi|218701347	catalase/hydroperoxidase HPI(I) [Escherichia coli IAI39]	79,9	5	192	10	352.3 (M:352.3)	25	20,9	vIa_30min,vIb_120min,20b_120min,40b_120min,60b_120min	3					10	4	3	5	
gi|466743	lctD [Escherichia coli str. K-12 substr. MG1655]	42,6	6,4	193	7	346.5 (M:346.5)	20	25,3	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	1				3	4	6	2	1
gi|16129675	threonyl-tRNA synthetase [Escherichia coli str. K-12 substr. MG1655]	74	5,8	194	8	341.7 (M:341.7)	36	16,8	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	2		3	2	8	7	3	5	2
gi|91211896	GTP-binding protein LepA [Escherichia coli UTI89]	66,5	5,4	195	6	339.9 (M:339.9)	20	15,7	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,80b_120min	4	1				4	5	5		1
gi|466690	unnamed protein product [Escherichia coli str. K-12 substr. MG1655]	22,2	10,2	196	3	338.7 (M:338.7)	13	35,6	vIa_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2					3	2	2	3	1
gi|556177	isocitrate lyase [Escherichia coli]	47,2	5,4	197	6	333.0 (M:333.0)	30	21	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	2	1	1		4	4	6	3	5
gi|26247526	translation-associated GTPase [Escherichia coli CFT073]	39,6	4,7	198	5	328.3 (M:328.3)	26	21,5	vIa_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2			1	2	4	2	5	4	6
gi|191172519	hydrogenase-2, large subunit [Escherichia coli F11]	62,4	5,8	199	5	327.2 (M:327.2)	22	19,8	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	1			6	6	3	2	2
gi|11513847	Chain A, The Crystal Structure Of Adp-L-Glycero-D-Mannoheptose 6- Epimerase	34,8	4,7	200	6	327.0 (M:327.0)	19	25,2	20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		2				3	6	3	3	2
gi|116667433	Chain 3, Structure Of The 50s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	12,1	4,4	201	8	322.6 (M:322.6)	169	76,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	12	16	8	6	6	32	35	22	16	16
gi|194429130	N-acetylneuraminate lyase [Escherichia coli B171]	32,5	5,4	202	5	321.1 (M:321.1)	25	24,2	20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		1	2	1	2	2	5	4	4	4
gi|15804591	transcriptional regulator HU subunit alpha [Escherichia coli O157:H7 EDL933]	9,5	10,1	203	3	315.3 (M:315.3)	67	57,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	5	6	6	5	12	8	7	6	6
gi|134104557	Chain A, Crystal Structure Of Lactaldehyde Dehydrogenase From E. Coli: The Ternary Complex With Product Bound (L)-Lactate And Nadh.	52,1	4,9	204	5	315.1 (M:315.1)	16	17,6	20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		1				2	3	6	3	1
gi|194433478	NAD+ synthetase [Shigella dysenteriae 1012]	30,6	5,2	205	4	314.0 (M:314.0)	15	30,2	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1				4	4	2	1	1
gi|15803058	DNA-binding transcriptional regulator IscR [Escherichia coli O157:H7 EDL933]	17,3	7,8	206	3	310.6 (M:310.6)	21	42,6	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	3		2	2	4	2	2	1	3
gi|157159326	cAMP-regulatory protein [Escherichia coli E24377A]	23,6	9,2	207	5	308.2 (M:308.2)	29	31,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	2	1	2	3	2	5	5	5
gi|194438115	ribonuclease E [Escherichia coli 101-1]	118,2	5,4	208	7	306.3 (M:306.3)	18	10,6	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min	1	1				7	2	3	4	
gi|168750753	D-amino acid dehydrogenase, small subunit [Escherichia coli O157:H7 str. EC4113]	46,7	6	209	6	304.8 (M:304.8)	18	21,3	vIa_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1		1	1	2	2	3	4	2	2
gi|116667425	Chain P, Structure Of The 30s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	8,8	10,9	210	5	304.8 (M:304.8)	54	62,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	6	4	7	4	4	5	6	3	8	7
gi|26245922	threonine synthase [Escherichia coli CFT073]	47	5,1	211	6	304.6 (M:304.6)	15	29,2	vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min						4	3	4	2	2
gi|27065814	Chain A, Crystal Structure Of Beta-Ketoacyl-Acp Synthase Iii With Bound Dichlorobenzyloxy-Indole-Carboxylic Acid Inhibitor	33,4	5	212	5	301.7 (M:301.7)	28	27,2	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	2		1	5	5	3	5	5
gi|218707253	threonine 3-dehydrogenase, NAD(P)-binding [Escherichia coli UMN026]	37,2	5,9	213	6	298.9 (M:298.9)	26	29,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1	2	2	2	3	2	4	5	3
gi|157829656	Chain A, Structure Of The C115a Mutant Of Mura Complexed With The Fluorinated Analog Of The Reaction Tetrahedral Intermediate	44,8	5,8	214	5	297.0 (M:297.0)	17	13,4	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1				4	4	3	2	2
gi|42543132	Chain A, Crystal Structure Of Escherichia Coli Periplasmic Glucose-1- Phosphatase H18a Mutant Complexed With Glucose-1-Phosphate	43,5	5,2	215	5	293.6 (M:293.6)	19	18,9	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min	3	2	1	1	1	2	3	4	2	
gi|110644304	soluble pyridine nucleotide transhydrogenase [Escherichia coli 536]	51,6	6,1	216	6	291.3 (M:291.3)	23	23,8	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	2	1			4	5	4	4	2
gi|26250876	acetyl-CoA synthetase [Escherichia coli CFT073]	71,9	5,4	217	5	286.8 (M:286.8)	13	13,5	20b_120min,40b_120min,60b_120min,80b_120min							4	2	5	2
gi|170172440	nucleoside diphosphate kinase [Escherichia coli]	14,3	5	218	3	285.6 (M:285.6)	31	44	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	2		2	5	5	3	4	4
gi|218699043	phosphoglucomutase [Escherichia coli IAI39]	58,4	5,3	219	8	282.2 (M:282.2)	27	24	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	2	2	1	1	3	5	4	4	4
gi|15804572	transcription antitermination protein NusG [Escherichia coli O157:H7 EDL933]	20,5	6,4	220	6	279.9 (M:279.9)	33	44,8	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	3		2	3	4	4	6	7
gi|110643207	malate synthase G [Escherichia coli 536]	80,5	5,8	221	8	278.9 (M:278.9)	11	13,1	20a_30min,40a_30min,20b_120min,40b_120min,60b_120min		1	1				2	3	4	
gi|193070628	thymidine phosphorylase [Escherichia coli E110019]	47,1	5	222	7	278.8 (M:278.8)	19	22,7	vIa_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1			1		5	2	4	2	4
gi|24113841	outer membrane protein assembly complex subunit YfgL [Shigella flexneri 2a str. 301]	41,8	4,6	223	4	277.7 (M:277.7)	13	16,3	vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min						3	4	3	2	1
gi|33357915	Chain N, Real Space Refined Coordinates Of The 50s Subunit Fitted Into The Low Resolution Cryo-Em Map Of The Ef-G.Gtp State Of E. Coli 70s Ribosome	13	11,1	224	6	277.5 (M:277.5)	39	60,5	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	4	2		5	4	3	4	4	8	5
gi|15803828	50S ribosomal protein L15 [Escherichia coli O157:H7 EDL933]	15	11,7	225	4	277.0 (M:277.0)	22	39,6	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,60b_120min,80b_120min	2	1		3	2	2	2		6	4
gi|188496264	conserved hypothetical protein [Escherichia coli 53638]	41,1	4,9	226	6	275.8 (M:275.8)	20	24	vIa_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1				1	5	4	4	3	2
gi|218706410	aminomethyltransferase, tetrahydrofolate-dependent, subunit (T protein) of glycine cleavage complex [Escherichia coli UMN026]	40,1	5,3	227	4	275.6 (M:275.6)	22	15,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	2	2	2	2	3	2	2	4	2
gi|16130190	fused UDP-L-Ara4N formyltransferase/UDP-GlcA C-4'-decarboxylase [Escherichia coli str. K-12 substr. MG1655]	74,2	6,4	228	4	273.8 (M:273.8)	9	10,3	vIb_120min,20b_120min,40b_120min,80b_120min						3	3	2		1
gi|15800564	DNA starvation/stationary phase protection protein Dps [Escherichia coli O157:H7 EDL933]	18,7	5,7	229	4	272.2 (M:272.2)	11	33,5	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min	3	1				3	1	2	1	
gi|109157753	Chain A, Structure Of E.Coli Fabd Complexed With Glycerol	32,3	4,8	230	4	271.1 (M:271.1)	27	30,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	1	1	2	5	5	3	3	3
gi|218702556	GTPase [Escherichia coli IAI39]	49,2	4,7	231	4	266.5 (M:266.5)	7	16,1	vIb_120min,20b_120min,40b_120min						3	3	1		
gi|15803837	50S ribosomal protein L14 [Escherichia coli O157:H7 EDL933]	13,5	11,3	232	4	264.4 (M:264.4)	23	28,5	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,60b_120min,80b_120min	3	2		2	2	5	2		3	4
gi|16131262	tryptophanyl-tRNA synthetase [Escherichia coli str. K-12 substr. MG1655]	37,4	6,3	233	6	264.2 (M:264.2)	28	23,4	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	3	1		1	4	5	5	4	3
gi|116667452	Chain S, Structure Of The 50s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	10,8	10,7	234	4	263.3 (M:263.3)	32	56,6	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	2	1	5	3	5	2	3	4	4
gi|218704467	N-methyltryptophan oxidase, FAD-binding [Escherichia coli UMN026]	40,9	5	235	5	263.2 (M:263.2)	9	26,1	vIb_120min,20b_120min,40b_120min						2	4	3		
gi|134104519	Chain A, Single Chain Integration Host Factor Protein (Scihf2) In Complex With Dna	22,8	10	236	4	259.5 (M:259.5)	27	25	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	4	2	2	2	3	4	2	2	3
gi|147856	arginine decarboxylase [Escherichia coli]	73,9	4,7	237	5	259.4 (M:259.4)	10	14	20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min		2	1			2	2	1	2	
gi|89107474	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding [Escherichia coli W3110]	56,1	5,4	238	7	259.2 (M:259.2)	30	19,2	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	3		1	1	5	5	6	3	4
gi|218695393	DNA-binding transcriptional repressor KdgR [Escherichia coli 55989]	29,6	5	239	4	258.6 (M:258.6)	15	23,1	20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min		1				4	4	3	3	
gi|15802569	galactitol-specific PTS system component IIA [Escherichia coli O157:H7 EDL933]	16,9	5	240	3	257.6 (M:257.6)	23	39,3	60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min				1	1	3	4	4	4	6
gi|215485507	predicted nucleotide binding protein [Escherichia coli O127:H6 str. E2348/69]	18,3	5,9	241	2	257.3 (M:257.3)	31	28,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	3	1	2	2	3	4	5	5	4
gi|146617	lipoic acid synthetase	31,4	7	242	5	256.2 (M:256.2)	21	30,2	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	2			4	4	3	3	3
gi|218687959	S-adenosyl-dependent methyltransferase activity on membrane-located substrates [Escherichia coli ED1a]	34,8	6	243	4	254.6 (M:254.6)	16	20,1	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min	1	1				3	4	5	2	
gi|55669728	Chain A, Crystal Structure Of The Periplasmic Chaperone Skp	17	10	244	2	254.3 (M:254.3)	26	23,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	2	2	2	3	3	4	2	4
gi|116667447	Chain M, Structure Of The 50s Subunit Of A Pre-Translocational E. Coli Ribosome Obtained By Fitting Atomic Models For Rna And Protein Components Into Cryo-Em Map Emd-1056	12,2	11	245	5	254.0 (M:254.0)	33	48,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	1	1	2	3	4	3	3	7	6
gi|15803726	50S ribosomal protein L21 [Escherichia coli O157:H7 EDL933]	11,6	10,3	246	5	253.7 (M:253.7)	48	60,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	1	2	2	12	12	4	7	2
gi|51247547	Chain A, 1.6 Angstrom Structure Of Esherichia Coli Aspartate- Semialdehyde Dehydrogenase.	40	5,1	247	3	251.5 (M:251.5)	13	22,1	20a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		1			1	3	2	3	2	1
gi|15804336	F0F1 ATP synthase subunit B [Escherichia coli O157:H7 EDL933]	17,3	5,9	248	4	249.8 (M:249.8)	19	34	vIa_30min,20a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2		1		4	5	2	2	1
gi|15804953	deoxyribose-phosphate aldolase [Escherichia coli O157:H7 EDL933]	27,7	5,4	249	5	249.2 (M:249.2)	14	30,9	vIa_30min,20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	1	1		2	3	2	1	2
gi|49176156	predicted structural transport element [Escherichia coli str. K-12 substr. MG1655]	25,9	10,3	250	5	248.2 (M:248.2)	33	32,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	4	1	1	2	5	5	6	4	4
gi|51247433	Chain A, Crystal Structure Of Full Length E. Coli Ssb Protein	12,6	9,1	251	4	246.3 (M:246.3)	24	45,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	2	2	2	1	3	2	2	5	2
gi|168752659	leucyl-tRNA synthetase [Escherichia coli O157:H7 str. EC4113]	97,1	5	252	4	246.2 (M:246.2)	11	8,4	vIb_120min,20b_120min,40b_120min,60b_120min						4	3	3	1	
gi|6573316	Chain A, 1.2 A Crystal Structure Of Yjgf Gene Product From E. Coli	13,5	5,2	253	4	243.8 (M:243.8)	27	72,4	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	3	3	1	3	3	2	2	4	4
gi|2781032	Chain A, Flavodoxins That Are Required For Enzyme Activation: The Structure Of Oxidized Flavodoxin From Escherichia Coli At 1.8 Angstroms Resolution.	19,6	4,1	254	3	242.5 (M:242.5)	14	30,9	20a_30min,40a_30min,60a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		1	2	1		3	1	4	1	1
gi|89107361	predicted thioredoxin domain-containing protein [Escherichia coli W3110]	31,8	4,3	255	3	240.4 (M:240.4)	21	21,8	20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min		2		1	1	3	5	5	1	3
gi|15829436	(3R)-hydroxymyristoyl-ACP dehydratase [Escherichia coli O157:H7 str. Sakai]	17	7,8	256	3	239.9 (M:239.9)	21	33,8	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	2		1	1	2	4	3	4	3
gi|42543455	Chain A, Crystal Structure Of Escherichia Coli Thiol Peroxidase In The Oxidized State	17,7	4,6	257	3	238.3 (M:238.3)	33	37,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	3	2	2	4	5	3	3	5
gi|15804286	heat shock protein IbpA [Escherichia coli O157:H7 EDL933]	15,8	5,5	258	4	237.1 (M:237.1)	32	54,7	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	2	5	4	4	1	3	2	4	6
gi|16130187	conserved protein [Escherichia coli str. K-12 substr. MG1655]	22,2	9,9	259	3	235.7 (M:235.7)	23	31	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	2			3	4	3	5	4
gi|15803036	hypothetical protein Z3776 [Escherichia coli O157:H7 EDL933]	22,1	4,9	260	3	234.1 (M:234.1)	16	38,5	vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min						3	3	4	2	4
gi|15803214	recombinase A [Escherichia coli O157:H7 EDL933]	37,9	5	261	5	234.0 (M:234.0)	19	24,4	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1	1			2	4	4	2	3
gi|14278494	Chain A, The Structure Of Escherichia Coli Nitroreductase Complexed With Nicotinic Acid	23,2	5,8	262	5	231.9 (M:231.9)	20	39,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	2	2	1	3	4	1	1	2
gi|15831679	translation initiation factor IF-3 [Escherichia coli O157:H7 str. Sakai]	20,6	10,1	263	2	230.4 (M:230.4)	24	25	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	1	2	3	3	3	1	3	4
gi|157159292	peptidase PmbA [Escherichia coli E24377A]	48	5,3	264	4	228.9 (M:228.9)	8	14,1	vIb_120min,20b_120min,40b_120min,80b_120min						1	2	4		1
gi|16131995	predicted GTPase [Escherichia coli str. K-12 substr. MG1655]	48,3	5,6	265	5	227.9 (M:227.9)	8	18,5	vIb_120min,20b_120min,40b_120min,80b_120min						2	3	2		1
gi|168983601	DNA-binding response regulator [Escherichia coli O55:H7]	16,6	9,6	266	3	227.8 (M:227.8)	28	37,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	2	2	2	3	1	5	3	5	4
gi|15803789	acetyl-CoA carboxylase biotin carboxyl carrier protein subunit [Escherichia coli O157:H7 EDL933]	16,7	4,5	267	4	227.6 (M:227.6)	28	38,5	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	5	4	2	2	2	4	3	1	2	3
gi|16129572	conserved protein [Escherichia coli str. K-12 substr. MG1655]	54,7	4,9	268	3	225.3 (M:225.3)	7	11,8	vIb_120min,20b_120min,60b_120min,80b_120min						1	2		2	2
gi|38704212	hypothetical protein ECs4853 [Escherichia coli O157:H7 str. Sakai]	9,4	4,5	269	4	224.9 (M:224.9)	9	51,9	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1				1	1	2	2	1
gi|218689279	ribonuclease II [Escherichia coli ED1a]	72,3	5,3	270	4	223.8 (M:223.8)	11	12,3	vIb_120min,20b_120min,40b_120min,60b_120min						5	2	2	2	
gi|3318853	Chain A, The Structure Of Clpp At 2.3 Angstrom Resolution Suggests A Model For Atp-Dependent Proteolysis	21,5	5,5	271	3	222.6 (M:222.6)	23	37,3	vIa_30min,20a_30min,40a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	2		1	4	4	3	3	4
gi|15804739	elongation factor P [Escherichia coli O157:H7 EDL933]	20,4	4,8	272	3	222.5 (M:222.5)	30	25,1	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	2	2	2	4	5	5	3	3
gi|15803821	50S ribosomal protein L17 [Escherichia coli O157:H7 EDL933]	14,4	11,7	273	5	221.5 (M:221.5)	21	33,1	vIa_30min,20a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,60b_120min,80b_120min	3	1		4	2	3	2		4	2
gi|195939092	translocation protein TolB [Escherichia coli O157:H7 str. EC4024]	41,5	6,3	274	5	220.2 (M:220.2)	9	22,1	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min	1	1				1	2	2	2	
gi|15804190	DNA-directed RNA polymerase subunit omega [Escherichia coli O157:H7 EDL933]	10,2	4,7	275	3	219.8 (M:219.8)	9	60,4	vIa_30min,20a_30min,40a_30min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	1				1	2	2	1
gi|1633163	Chain A, Escherichia Coli Beta-Hydroxydecanoyl Thiol Ester Dehydrase At Ph 5 And 21 Degrees C	18,8	6,2	276	4	219.1 (M:219.1)	20	25,7	vIa_30min,20a_30min,40a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1	2			2	5	5	2	2
gi|16128119	carbonic anhydrase [Escherichia coli str. K-12 substr. MG1655]	25,1	6,2	277	3	218.4 (M:218.4)	13	23,2	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	1	1				3	2	2	1	3
gi|15803319	L-serine dehydratase (deaminase), L-SD2 [Escherichia coli O157:H7 EDL933]	48,6	5,3	278	4	217.8 (M:217.8)	14	12,3	vIa_30min,20a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	1				3	3	2	1	2
gi|24987897	Chain A, Thioredoxin (Reduced Dithio Form), Nmr, 20 Structures	11,6	4,5	279	2	215.9 (M:215.9)	33	40,2	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	3	3	2	2	3	5	5	3	4	3
gi|14277737	Chain A, Hsp33, Heat Shock Protein With Redox-Regulated Chaperone Activity	28,4	4,2	280	4	215.1 (M:215.1)	24	38,8	vIa_30min,20a_30min,40a_30min,60a_30min,80a_30min,vIb_120min,20b_120min,40b_120min,60b_120min,80b_120min	2	2	1	1	4	4	3	2	2	3
gi|33357886	Chain I, Real Space Refined Coordinates Of The 30s Subunit Fitted Into The Low Resolution Cryo-Em Map Of The Ef-G.Gtp State Of E. Coli 70s Ribosome	14,7	11,4	281	4	212.7 (M:212.7)	17	39,5	vIa_30min,60a_30min,80a_30min,vIb_120min,20b_120min,60b_120min,80b_120min	2			2	2	1	1		7	2
